Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.9824355971896955,0.9831460674157303,0.9887005649717514,0.9859154929577465
SVM,0.9391100702576112,0.9705304518664049,0.9303201506591338,0.95
