Feature,Importance
cibil_score,0.8031046728678809
loan_term,0.04942106560289805
loan_amount,0.03200124931206032
residential_assets_value,0.020473838362131017
luxury_assets_value,0.02024735584495295
income_annum,0.020029476714912623
commercial_assets_value,0.018947896960142593
bank_asset_value,0.017445116317106168
no_of_dependents,0.009559966333254484
self_employed_Yes,0.002243336118062392
education_Not Graduate,0.0022405244875553037
education_Graduate,0.0021527692272443988
self_employed_No,0.0021327318517987246
